Date,Price
9/27/2012,"Rp604,200.00"
9/28/2012,"Rp610,200.00"
10/1/2012,"Rp605,200.00"
10/2/2012,"Rp609,200.00"
10/3/2012,"Rp607,200.00"
10/4/2012,"Rp609,200.00"
10/5/2012,"Rp614,200.00"
10/8/2012,"Rp610,200.00"
10/9/2012,"Rp609,200.00"
10/10/2012,"Rp606,200.00"
10/11/2012,"Rp606,200.00"
10/12/2012,"Rp609,200.00"
10/15/2012,"Rp603,200.00"
10/16/2012,"Rp603,200.00"
10/17/2012,"Rp606,200.00"
10/18/2012,"Rp604,200.00"
10/19/2012,"Rp601,200.00"
10/22/2012,"Rp594,200.00"
10/22/2012,"Rp598,200.00"
10/23/2012,"Rp600,200.00"
10/24/2012,"Rp596,200.00"
10/25/2012,"Rp596,200.00"
10/29/2012,"Rp597,200.00"
10/30/2012,"Rp595,200.00"
10/31/2012,"Rp596,200.00"
11/1/2012,"Rp599,200.00"
11/2/2012,"Rp599,200.00"
11/5/2012,"Rp594,200.00"
11/6/2012,"Rp594,200.00"
11/7/2012,"Rp598,200.00"
11/7/2012,"Rp602,200.00"
11/8/2012,"Rp602,200.00"
11/9/2012,"Rp605,200.00"
11/12/2012,"Rp606,200.00"
11/13/2012,"Rp602,000.00"
11/13/2012,"Rp602,200.00"
11/14/2012,"Rp602,200.00"
11/19/2012,"Rp599,200.00"
11/20/2012,"Rp602,200.00"
11/21/2012,"Rp602,200.00"
11/22/2012,"Rp602,200.00"
11/23/2012,"Rp602,200.00"
11/26/2012,"Rp606,200.00"
11/27/2012,"Rp606,200.00"
11/28/2012,"Rp604,200.00"
11/29/2012,"Rp598,200.00"
11/30/2012,"Rp601,200.00"
12/3/2012,"Rp600,200.00"
12/4/2012,"Rp600,200.00"
12/5/2012,"Rp597,200.00"
12/6/2012,"Rp597,200.00"
12/7/2012,"Rp599,200.00"
12/10/2012,"Rp602,200.00"
12/11/2012,"Rp604,200.00"
12/12/2012,"Rp604,200.00"
12/13/2012,"Rp604,200.00"
12/14/2012,"Rp599,200.00"
12/17/2012,"Rp601,200.00"
12/18/2012,"Rp602,200.00"
12/19/2012,"Rp598,200.00"
12/20/2012,"Rp597,200.00"
12/21/2012,"Rp591,200.00"
12/26/2012,"Rp598,200.00"
12/27/2012,"Rp601,200.00"
12/28/2012,"Rp604,200.00"
1/2/2013,"Rp599,200.00"
